GISJOIN,SDUNI,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G12000030,Alachua County School District,3534,14813,18347,0.19262005
G12000060,Baker County School District,588,2011,2599,0.22624086
G12000090,Bay County School District,2818,11847,14665,0.19215819
G12000120,Bradford County School District,739,1581,2320,0.31853449
G12000150,Brevard County School District,8343,37266,45609,0.18292442
G12000180,Broward County School District,29653,145083,174736,0.16970173
G12000210,Calhoun County School District,268,1252,1520,0.17631578
G12000240,Charlotte County School District,1993,8130,10123,0.19687839
G12000270,Citrus County School District,2395,6730,9125,0.26246575
G12000300,Clay County School District,2561,19543,22104,0.11586139
G12000330,Collier County School District,5562,19589,25151,0.22114429
G12000360,Columbia County School District,1512,4182,5694,0.26554269
G12000390,Dade County School District,63147,173056,236203,0.26734206
G12000420,DeSoto County School District,1051,2004,3055,0.34402618
G12000450,Dixie County School District,249,923,1172,0.21245734
G12000480,Duval County School District,18025,61945,79970,0.22539702
G12000510,Escambia County School District,4563,16642,21205,0.21518509
G12000540,Flagler County School District,1616,5719,7335,0.22031356
G12000570,Franklin County School District,267,602,869,0.30724972
G12000600,Gadsden County School District,1694,2936,4630,0.36587474
G12000630,Gilchrist County School District,403,947,1350,0.29851851
G12000660,Glades County School District,258,470,728,0.3543956
G12000690,Gulf County School District,169,1114,1283,0.13172252
G12000720,Hamilton County School District,540,705,1245,0.43373495
G12000750,Hardee County School District,833,1527,2360,0.3529661
G12000780,Hendry County School District,1164,2675,3839,0.30320397
G12000810,Hernando County School District,3562,11014,14576,0.24437432
G12000840,Highlands County School District,1699,4907,6606,0.25719044
G12000870,Hillsborough County School District,25468,102262,127730,0.19938934
G12000900,Holmes County School District,539,1049,1588,0.33942065
G12000930,Indian River County School District,2208,7918,10126,0.21805254
G12000960,Jackson County School District,1142,2786,3928,0.29073319
G12000990,Jefferson County School District,246,898,1144,0.21503496
G12001020,Lafayette County School District,179,534,713,0.2510519
G12001050,Lake County School District,5424,20674,26098,0.20783202
G12001080,Lee County School District,11973,37708,49681,0.24099757
G12001110,Leon County School District,3558,18477,22035,0.16147038
G12001140,Levy County School District,910,2221,3131,0.29064196
G12001170,Liberty County School District,87,528,615,0.14146341
G12001200,Madison County School District,535,1165,1700,0.31470588
G12001230,Manatee County School District,5253,21446,26699,0.19674894
G12001260,Marion County School District,6951,17264,24215,0.28705347
G12001290,Martin County School District,1734,9699,11433,0.15166622
G12001320,Monroe County School District,796,3306,4102,0.19405168
G12001350,Nassau County School District,1487,5490,6977,0.21312885
G12001380,Okaloosa County School District,3439,14259,17698,0.19431575
G12001410,Okeechobee County School District,1170,2200,3370,0.34718102
G12001440,Orange County School District,26490,89275,115765,0.22882564
G12001470,Osceola County School District,8306,22412,30718,0.27039522
G12001500,Palm Beach County School District,22286,95088,117374,0.1898717
G12001530,Pasco County School District,6919,34236,41155,0.16812052
G12001560,Pinellas County School District,13331,54487,67818,0.19657023
G12001590,Polk County School District,13717,42612,56329,0.24351577
G12001620,Putnam County School District,2130,3320,5450,0.39082569
G12001650,Santa Rosa County School District,2362,13768,16130,0.14643522
G12001680,Sarasota County School District,3958,23949,27907,0.14182821
G12001710,Seminole County School District,5655,31655,37310,0.15156795
G12001740,St. Johns County School District,2148,19318,21466,0.10006522
G12001770,St. Lucie County School District,6066,17868,23934,0.25344697
G12001800,Sumter County School District,946,2259,3205,0.29516381
G12001830,Suwannee County School District,1395,2402,3797,0.36739531
G12001860,Taylor County School District,174,1342,1516,0.11477572
G12001890,Union County School District,279,967,1246,0.22391653
G12001920,Volusia County School District,8433,28648,37081,0.22742105
G12001950,Wakulla County School District,556,2513,3069,0.1811665
G12001980,Walton County School District,945,3539,4484,0.21074933
G12002010,Washington County School District,613,1461,2074,0.29556412